plannedSessionId,athleteId,date,type,plannedDistanceKm,plannedDurationSec,plannedAscentM,targetType,targetLabel,notes,stepEndMode,stepsJson
ffe0a251-097f-425c-8634-679aa006a96c,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2025-10-08,INTERVAL_SIMPLE,9.516666666666673,2940,,,,,auto,"{""warmupSec"": 900, ""repeats"": [{""workSec"": 180, ""recoverSec"": 60, ""targetType"": ""hr"", ""targetLabel"": ""Threshold 60""}, {""workSec"": 180, ""recoverSec"": 60, ""targetType"": ""hr"", ""targetLabel"": ""Threshold 60""}, {""workSec"": 180, ""recoverSec"": 60, ""targetType"": ""hr"", ""targetLabel"": ""Threshold 60""}, {""workSec"": 180, ""recoverSec"": 60, ""targetType"": ""hr"", ""targetLabel"": ""Threshold 60""}, {""workSec"": 180, ""recoverSec"": 60, ""targetType"": ""hr"", ""targetLabel"": ""Threshold 60""}, {""workSec"": 180, ""recoverSec"": 60, ""targetType"": ""hr"", ""targetLabel"": ""Threshold 60""}], ""cooldownSec"": 600}"
dddb2017-e71f-4a3b-a4f9-a1e0b206f3db,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2025-10-07,FUNDAMENTAL_ENDURANCE,10.0,3600,0.0,,,,,
2d77a7e0-9e64-4105-abe1-6840d7b0856b,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2025-10-09,FUNDAMENTAL_ENDURANCE,10.0,3600,500.0,,,,,
bed30bc0-24db-44d9-86f0-df47f1bc0736,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2025-10-11,LONG_RUN,10.0,3600,500.0,hr,Fundamental,,,
d048cf41-faaf-4c2d-8271-e80eff933dcc,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2025-10-12,INTERVAL_SIMPLE,10.775,3009,,,,"(S60,S30,Descente Fast, r1') x10",auto,"{""warmupSec"": 600, ""loops"": [{""repeats"": 10, ""actions"": [{""kind"": ""run"", ""sec"": 60, ""targetType"": ""hr"", ""targetLabel"": ""Threshold 60"", ""ascendM"": 0, ""descendM"": 0}, {""kind"": ""run"", ""sec"": 60, ""targetType"": ""hr"", ""targetLabel"": ""Threshold 30"", ""ascendM"": 0, ""descendM"": 0}, {""kind"": ""run"", ""sec"": 60, ""targetType"": ""hr"", ""targetLabel"": ""Threshold 60"", ""ascendM"": 0, ""descendM"": 0}]}], ""betweenLoopRecoverSec"": 1, ""cooldownSec"": 600}"
84472c55-3363-4b5a-80ac-18784a0a7467,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2025-10-13,FUNDAMENTAL_ENDURANCE,10.0,3600,0.0,,,,,
b748deb7-1ee1-456a-9178-d814fe4a2659,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2025-10-15,INTERVAL_SIMPLE,10.666666666666666,3180,0.0,,,,auto,"{""warmupSec"": 900, ""loops"": [{""repeats"": 5, ""actions"": [{""kind"": ""run"", ""sec"": 240, ""targetType"": ""hr"", ""targetLabel"": ""Threshold 30"", ""ascendM"": 0, ""descendM"": 0}]}], ""betweenLoopRecoverSec"": 120, ""cooldownSec"": 600}"
2d743ed7-a4b7-433f-acc2-25c170c5f12b,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2025-10-18,LONG_RUN,10.0,5400,500.0,hr,Threshold 30,10k de la bastille. A fond,,
71012aca-5171-4a34-b3d7-1e51fc326957,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2025-10-28,INTERVAL_SIMPLE,11.874999999999996,3450,0.0,,,LUT by Night,auto,"{""preBlocks"":[{""kind"":""run"",""sec"":600,""targetType"":""sensation"",""targetLabel"":""Fundamental"",""ascendM"":0,""descendM"":0}],""loops"":[{""repeats"":5,""actions"":[{""kind"":""run"",""sec"":300,""targetType"":""hr"",""targetLabel"":""Threshold 30"",""ascendM"":0,""descendM"":0},{""kind"":""recovery"",""sec"":150,""targetType"":null,""targetLabel"":null,""ascendM"":0,""descendM"":0}]}],""postBlocks"":[{""kind"":""recovery"",""sec"":600,""targetType"":null,""targetLabel"":null,""ascendM"":0,""descendM"":0}],""warmupSec"":600,""cooldownSec"":600,""betweenLoopRecoverSec"":0}"
7ffd0891-9a57-4e53-adb7-c93326a3e0b5,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2025-11-01,RACE,30.0,12600,800.0,race,,LUT by Night,,
accc5678-d083-4d0b-95bf-d20f40de716d,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2025-10-30,FUNDAMENTAL_ENDURANCE,8.0,3600,200.0,,,,,
33a550a2-b5ac-4624-b423-2a72ba8f9888,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2025-11-02,FUNDAMENTAL_ENDURANCE,15.0,7200,500.0,,,,,
0506fa41-c133-4b12-afd9-85215cb3f1c0,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2025-10-26,LONG_RUN,14.0,8640,1000.0,hr,Fundamental,,,
128651fc-2148-4ed9-9426-167862112480,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2025-10-25,INTERVAL_SIMPLE,7.666666666666665,2100,350.0,,,,auto,"{""preBlocks"":[{""kind"":""run"",""sec"":600,""targetType"":""sensation"",""targetLabel"":""Fundamental"",""ascendM"":0,""descendM"":0}],""loops"":[{""repeats"":1,""actions"":[{""kind"":""run"",""sec"":1200,""targetType"":""hr"",""targetLabel"":""Threshold 30"",""ascendM"":350,""descendM"":0}]}],""postBlocks"":[{""kind"":""recovery"",""sec"":300,""targetType"":null,""targetLabel"":null,""ascendM"":0,""descendM"":0}],""warmupSec"":600,""cooldownSec"":300,""betweenLoopRecoverSec"":0}"
6a5723c9-78e6-462e-b227-afb31b609f1e,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2025-10-23,INTERVAL_SIMPLE,10.25,3060,0.0,,,,auto,"{""preBlocks"":[{""kind"":""run"",""sec"":600,""targetType"":""sensation"",""targetLabel"":""Fundamental"",""ascendM"":0,""descendM"":0}],""loops"":[{""repeats"":10,""actions"":[{""kind"":""run"",""sec"":30,""targetType"":""hr"",""targetLabel"":""MVA"",""ascendM"":0,""descendM"":0},{""kind"":""recovery"",""sec"":30,""targetType"":null,""targetLabel"":null,""ascendM"":0,""descendM"":0}]},{""repeats"":10,""actions"":[{""kind"":""run"",""sec"":30,""targetType"":""pace"",""targetLabel"":""MVA"",""ascendM"":0,""descendM"":0},{""kind"":""recovery"",""sec"":30,""targetType"":null,""targetLabel"":null,""ascendM"":0,""descendM"":0}]},{""repeats"":10,""actions"":[{""kind"":""run"",""sec"":30,""targetType"":""pace"",""targetLabel"":""MVA"",""ascendM"":0,""descendM"":0},{""kind"":""recovery"",""sec"":30,""targetType"":null,""targetLabel"":null,""ascendM"":0,""descendM"":0}]}],""postBlocks"":[{""kind"":""recovery"",""sec"":300,""targetType"":null,""targetLabel"":null,""ascendM"":0,""descendM"":0}],""warmupSec"":600,""cooldownSec"":300,""betweenBlock"":{""kind"":""recovery"",""sec"":180,""targetType"":null,""targetLabel"":null,""ascendM"":0,""descendM"":0},""betweenLoopRecoverSec"":180}"
88f50e25-da38-425e-9e27-0d36edddeaf6,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2025-10-21,FUNDAMENTAL_ENDURANCE,10.0,5400,500.0,hr,Fundamental,,,
