Nom;KM;grade;denivelé;distEQ;Temps estimé (min);Cumulé;Vitesse DistEQ UP;Vitesse Dist Down
Fontaine au lion;0,32;-0,6;-0,00192;0,31808;1,28;1,28;18;15
Première côte;0,34;20;0,068;1,02;3,40;4,68;;
Faux plat;0,32;2,2;0,00704;0,32704;1,31;5,98816;;
Première descente;0,72;-8,4;-0,06048;0,65952;2,88;8,86816;;
Escalier;0,24;32,8;0,07872;1,0272;3,42;12,29216;;
Montée part 1;0,86;12,7;0,10922;1,9522;6,51;18,7994933333333;;
Plat;0,23;-7;-0,0161;0,2139;0,92;19,7194933333333;;
Montée part 2;1,16;9;0,1044;2,204;7,35;27,06616;;
Chemin;0,9;1;0,009;0,909;4,5;31,56616;;
Dernière montée;0,45;16,2;0,0729;1,179;3,93;35,49616;;
Descente;3,9;;0,346;4,246;15,6;51,09616;;
;;;;;;;;
;9,44;;;;;;;
